DATE,BOJ_Balance_Sheet
2010-04-30,1208.6402613173
2010-05-31,1321.8233851076
2010-06-30,1277.2217201641
2010-07-31,1357.7970838912
2010-08-31,1457.144815252
2010-09-30,1444.6578405118
2010-10-31,1503.9570548196
2010-11-30,1514.9908379006
2010-12-31,1582.9069115151
2011-01-31,1557.9789561177
2011-02-28,1589.3111426494
2011-03-31,1719.7113880744
2011-04-30,1657.8043582174
2011-05-31,1658.1651545993
2011-06-30,1611.0824385693
2011-07-31,1733.9677672939
2011-08-31,1849.3242092465
2011-09-30,1791.3233982009
2011-10-31,1704.7557020361
2011-11-30,1847.6276427574
2011-12-31,1846.8666255244
2012-01-31,1792.5854328669
2012-02-29,1796.7718090224
2012-03-31,1700.0605676802
2012-04-30,1762.7800508174
2012-05-31,1813.5952043596
2012-06-30,1805.9099544791
2012-07-31,1861.1532694487
2012-08-31,1911.1119221662
2012-09-30,1931.3300159688
2012-10-31,1924.6817146924
2012-11-30,1891.0903352581
2012-12-31,1839.1316362156
2013-01-31,1755.7237817334
2013-02-28,1773.369278331
2013-03-31,1746.0301401118
2013-04-30,1793.1406869196
2013-05-31,1837.0698394089
2013-06-30,1891.0693876059
2013-07-31,2009.2029039532
2013-08-31,2093.9396700021
2013-09-30,2140.4523068181
2013-10-31,2194.0661151443
2013-11-30,2190.9867432322
2013-12-31,2136.4014331395
2014-01-31,2271.8582770935
2014-02-28,2361.7568230528
2014-03-31,2338.7882967703
2014-04-30,2399.9036748923
2014-05-31,2497.6948693575
2014-06-30,2542.9816836689
2014-07-31,2614.061830476
2014-08-31,2653.7158986414
2014-09-30,2524.612082856
2014-10-31,2562.6759283395
2014-11-30,2513.4595206376
2014-12-31,2509.7226855317
2015-01-31,2643.3813455471
2015-02-28,2686.882377513
2015-03-31,2699.9182816611
2015-04-30,2800.9609755283
2015-05-31,2768.8473657601
2015-06-30,2821.0514342757
2015-07-31,2849.8924656453
2015-08-31,2979.1752772377
2015-09-30,3045.3112650286
2015-10-31,3097.1110164304
2015-11-30,3097.2878050175
2015-12-31,3182.1869641535
2016-01-31,3273.5212113341
2016-02-29,3570.3063993181
2016-03-31,3610.8707042399
2016-04-30,3862.6688448379
2016-05-31,3834.2241956156
2016-06-30,4212.6137448815
2016-07-31,4288.0792320995
2016-08-31,4384.4670879966
2016-09-30,4508.2761839932
2016-10-31,4411.8387716747
2016-11-30,4158.763424911
2016-12-31,4070.3123310258
2017-01-31,4251.0359184456
2017-02-28,4350.9955053488
2017-03-31,4382.7224533508
2017-04-30,4468.1069808221
2017-05-31,4517.2715409578
2017-06-30,4485.3707003514
2017-07-31,4571.0905796285
2017-08-31,4624.636296048
2017-09-30,4563.8589666374
2017-10-31,4567.4397854729
2017-11-30,4646.4676593217
2017-12-31,4631.7630246458
2018-01-31,4838.6038095141
2018-02-28,4981.8319553558
2018-03-31,4963.0246930502
2018-04-30,4891.6749945209
2018-05-31,4968.8693403894
2018-06-30,4851.6288224354
2018-07-31,4900.262567436
2018-08-31,4974.0091515197
2018-09-30,4813.3639702587
2018-10-31,4873.4557079235
2018-11-30,4891.8023763655
2018-12-31,5022.9362105171
2019-01-31,5126.0908560619
2019-02-28,5073.512710498
2019-03-31,5028.660534767
2019-04-30,5046.7593862101
2019-05-31,5215.1085558634
2019-06-30,5243.2143153345
2019-07-31,5235.6837637212
2019-08-31,5389.2642228802
2019-09-30,5276.4525332477
2019-10-31,5318.5002841438
2019-11-30,5275.6295057843
2019-12-31,5279.382089833
2020-01-31,5310.9768316837
2020-02-29,5379.252360908
2020-03-31,5570.0027631419
2020-04-30,5810.4572359754
2020-05-31,5961.407267399
2020-06-30,6022.6251943084
2020-07-31,6346.559269708
2020-08-31,6447.2318039456
2020-09-30,6527.8239398345
2020-10-31,6675.30651346
2020-11-30,6771.0155807682
2020-12-31,6815.8638136894
2021-01-31,6777.1846638787
2021-02-28,6704.5331486252
2021-03-31,6449.2157359483
2021-04-30,6611.3343131546
2021-05-31,6608.3740536428
2021-06-30,6482.2694481393
2021-07-31,6592.9243488357
2021-08-31,6617.8441693964
2021-09-30,6465.5405583877
2021-10-31,6367.6830334616
2021-11-30,6454.5615877171
2021-12-31,6287.2929811471
2022-01-31,6281.3191338072
2022-02-28,6327.0348579028
2022-03-31,6046.5710643651
2022-04-30,5682.6570542318
2022-05-31,5744.0515026382
2022-06-30,5377.1885966356
2022-07-31,5422.3674896911
2022-08-31,5112.8085351788
2022-09-30,4740.8572905936
2022-10-31,4680.9226848167
2022-11-30,5033.3315694805
2022-12-31,5337.8636358342
2023-01-31,5626.811438142
2023-02-28,5407.6981644843
2023-03-31,5519.8453132425
2023-04-30,5441.4042151305
2023-05-31,5340.7965474905
2023-06-30,5066.7564837856
2023-07-31,5215.8574249322
2023-08-31,5132.8832257436
2023-09-30,4968.5994107458
2023-10-31,4972.6478275758
2023-11-30,5125.2786594627
2023-12-31,5301.0256298576
