DATE,Industrial_Production
2020-05-31,86.0108
2020-06-30,91.6745
2020-07-31,95.0037
2020-08-31,95.9294
2020-09-30,95.8914
2020-10-31,96.5256
2020-11-30,96.9529
2020-12-31,98.2039
2021-01-31,98.8135
2021-02-28,95.5072
2021-03-31,98.1929
2021-04-30,98.3317
2021-05-31,99.1867
2021-06-30,99.6483
2021-07-31,100.0668
2021-08-31,100.0412
2021-09-30,98.9955
2021-10-31,100.3542
2021-11-30,101.2684
2021-12-31,101.1948
2022-01-31,101.2146
2022-02-28,101.8458
2022-03-31,102.6732
2022-04-30,102.9024
2022-05-31,102.9659
2022-06-30,102.8224
2022-07-31,103.0505
2022-08-31,103.1703
2022-09-30,103.5326
2022-10-31,103.4442
2022-11-30,103.1058
2022-12-31,101.8266
2023-01-31,102.7476
2023-02-28,102.8003
2023-03-31,102.8143
2023-04-30,103.2241
2023-05-31,102.9809
2023-06-30,102.3809
2023-07-31,103.0722
2023-08-31,103.0951
2023-09-30,103.3081
2023-10-31,102.5781
2023-11-30,102.8868
2023-12-31,102.6309
