Date,Price,Open,High,Low,Change %
01-09-2016,-0.319,-0.217,-0.213,-0.319,47.69%
01-08-2016,-0.216,-0.26,-0.181,-0.265,-22.30%
01-07-2016,-0.278,-0.3,-0.275,-0.363,-7.95%
01-06-2016,-0.302,-0.255,-0.244,-0.305,17.97%
01-05-2016,-0.256,-0.26,-0.24,-0.271,0.39%
01-04-2016,-0.255,-0.189,-0.175,-0.274,34.92%
01-03-2016,-0.189,-0.166,-0.122,-0.211,9.88%
01-02-2016,-0.172,-0.067,-0.067,-0.238,181.97%
01-01-2016,-0.061,-0.052,0.004,-0.061,5.17%
01-12-2015,-0.058,-0.009,-0.007,-0.059,625.00%
01-11-2015,-0.008,0.008,0.008,-0.025,-214.29%
01-10-2015,0.007,0.012,0.013,0.003,-36.36%
01-09-2015,0.011,0.008,0.017,0.004,83.33%
01-08-2015,0.006,0.006,0.01,0.002,0.00%
01-07-2015,0.006,0.003,0.013,0.001,50.00%
01-06-2015,0.004,0.001,0.011,-0.004,-233.33%
01-05-2015,-0.003,0.002,0.015,-0.005,-200.00%
01-04-2015,0.003,0.035,0.039,-0.005,-89.29%
01-03-2015,0.028,0.014,0.04,0.002,86.67%
01-02-2015,0.015,0.013,0.037,0.011,50.00%
01-01-2015,0.01,-0.023,0.011,-0.03,-140.00%
01-12-2014,-0.025,0.009,0.021,-0.045,-412.50%
01-11-2014,0.008,0.025,0.031,-0.031,-50.00%
01-10-2014,0.016,0.065,0.065,0.011,-75.38%
01-09-2014,0.065,0.056,0.066,0.022,12.07%
01-08-2014,0.058,0.053,0.059,0.051,3.57%
01-07-2014,0.056,0.071,0.074,0.051,-22.22%
01-06-2014,0.072,0.081,0.086,0.072,-14.29%
01-05-2014,0.084,0.08,0.086,0.076,1.20%
01-04-2014,0.083,0.085,0.091,0.076,6.41%
01-03-2014,0.078,0.073,0.085,0.048,25.81%
01-02-2014,0.062,0.085,0.088,0.062,-26.19%
01-01-2014,0.084,0.085,0.088,0.081,0.00%
01-12-2013,0.084,0.085,0.087,0.078,-5.62%
01-11-2013,0.089,0.09,0.094,0.087,-1.11%
01-10-2013,0.09,0.093,0.097,0.078,-4.26%
01-09-2013,0.094,0.101,0.108,0.091,-9.62%
01-08-2013,0.104,0.101,0.109,0.101,0.00%
01-07-2013,0.104,0.108,0.114,0.103,-6.31%
01-06-2013,0.111,0.114,0.119,0.101,-2.63%
01-05-2013,0.114,0.119,0.129,0.108,-3.39%
01-04-2013,0.118,0.053,0.13,0.052,187.80%
01-03-2013,0.041,0.05,0.052,0.036,-22.64%
01-02-2013,0.053,0.074,0.074,0.041,-34.57%
01-01-2013,0.081,0.099,0.103,0.071,-18.18%
01-12-2012,0.099,0.099,0.102,0.096,-1.00%
01-11-2012,0.1,0.098,0.102,0.097,0.00%
01-10-2012,0.1,0.101,0.105,0.097,2.04%
01-09-2012,0.098,0.097,0.105,0.096,-1.01%
01-08-2012,0.099,0.103,0.104,0.095,-1.00%
01-07-2012,0.1,0.103,0.104,0.098,-3.85%
01-06-2012,0.104,0.104,0.107,0.101,-0.95%
01-05-2012,0.105,0.109,0.112,0.1,-4.55%
01-04-2012,0.11,0.109,0.114,0.106,0.00%
01-03-2012,0.11,0.11,0.114,0.108,-0.90%
01-02-2012,0.111,0.125,0.127,0.105,-11.20%
01-01-2012,0.125,0.129,0.131,0.123,-3.10%
01-12-2011,0.129,0.125,0.132,0.115,7.50%
01-11-2011,0.12,0.12,0.128,0.118,-4.00%
01-10-2011,0.125,0.131,0.143,0.115,5.04%
01-09-2011,0.119,0.119,0.169,0.102,4.39%
01-08-2011,0.114,0.125,0.158,0.108,-11.63%
01-07-2011,0.129,0.13,0.174,0.122,-3.01%
01-06-2011,0.133,0.15,0.154,0.126,-14.19%
01-05-2011,0.155,0.127,0.171,0.127,-6.06%
01-04-2011,0.165,0.159,0.171,0.144,3.13%
01-03-2011,0.16,0.19,0.195,0.109,-13.51%
01-02-2011,0.185,0.155,0.191,0.118,19.35%
01-01-2011,0.155,0.139,0.175,0.132,0.00%
01-12-2010,0.155,0.159,0.273,0.084,-1.90%
01-11-2010,0.158,0.115,0.171,0.115,26.40%
01-10-2010,0.125,0.121,0.132,0.103,0.00%
01-09-2010,0.125,0.115,0.144,0.112,1.63%
01-08-2010,0.123,0.138,0.141,0.111,-8.89%
01-07-2010,0.135,0.145,0.147,0.125,-6.90%
01-06-2010,0.145,0.141,0.158,0.13,7.41%
01-05-2010,0.135,0.134,0.15,0.125,-2.88%
01-04-2010,0.139,0.139,0.149,0.122,3.73%
01-03-2010,0.134,0.125,0.196,0.105,8.94%
01-02-2010,0.123,0.103,0.13,0.099,0.00%
01-01-2010,0.123,0.14,0.15,0.097,-8.21%
01-12-2009,0.134,0.185,0.19,0.125,-25.97%
01-11-2009,0.181,0.195,0.205,0.177,-7.18%
